"ID"	"CellType"	"Sample"	"Sample_celltype"
"Cebpa control_GSM1873474"	"Cebpa control"	"GSM1873474"	"GSM1873474_Cebpa control"
"Cebpa control_GSM1873475"	"Cebpa control"	"GSM1873475"	"GSM1873475_Cebpa control"
"Cebpa control_GSM1944941"	"Cebpa control"	"GSM1944941"	"GSM1944941_Cebpa control"
"Cebpa control_GSM1944943"	"Cebpa control"	"GSM1944943"	"GSM1944943_Cebpa control"
"Cebpa control_GSM1944945"	"Cebpa control"	"GSM1944945"	"GSM1944945_Cebpa control"
"Cebpa control_GSM1944947"	"Cebpa control"	"GSM1944947"	"GSM1944947_Cebpa control"
"Cebpa KO_GSM1873470"	"Cebpa KO"	"GSM1873470"	"GSM1873470_Cebpa KO"
"Cebpa KO_GSM1873471"	"Cebpa KO"	"GSM1873471"	"GSM1873471_Cebpa KO"
"Cebpa KO_GSM1873480"	"Cebpa KO"	"GSM1873480"	"GSM1873480_Cebpa KO"
"Cebpa KO_GSM1873481"	"Cebpa KO"	"GSM1873481"	"GSM1873481_Cebpa KO"
"Cebpa KO_GSM1944931"	"Cebpa KO"	"GSM1944931"	"GSM1944931_Cebpa KO"
"Cebpa KO_GSM1944932"	"Cebpa KO"	"GSM1944932"	"GSM1944932_Cebpa KO"
"Cebpa KO_GSM1944933"	"Cebpa KO"	"GSM1944933"	"GSM1944933_Cebpa KO"
"Cebpa KO_GSM1944934"	"Cebpa KO"	"GSM1944934"	"GSM1944934_Cebpa KO"
"Cebpa KO_GSM1944935"	"Cebpa KO"	"GSM1944935"	"GSM1944935_Cebpa KO"
"Cebpa KO_GSM1944937"	"Cebpa KO"	"GSM1944937"	"GSM1944937_Cebpa KO"
"Cebpa KO_GSM1944938"	"Cebpa KO"	"GSM1944938"	"GSM1944938_Cebpa KO"
"Cebpa KO_GSM1944940"	"Cebpa KO"	"GSM1944940"	"GSM1944940_Cebpa KO"
"Cebpe control_GSM1873478"	"Cebpe control"	"GSM1873478"	"GSM1873478_Cebpe control"
"Cebpe control_GSM1873479"	"Cebpe control"	"GSM1873479"	"GSM1873479_Cebpe control"
"Cebpe KO_GSM1873472"	"Cebpe KO"	"GSM1873472"	"GSM1873472_Cebpe KO"
"Cebpe KO_GSM1873473"	"Cebpe KO"	"GSM1873473"	"GSM1873473_Cebpe KO"
"Cebpe KO_GSM1873476"	"Cebpe KO"	"GSM1873476"	"GSM1873476_Cebpe KO"
"Cebpe KO_GSM1873477"	"Cebpe KO"	"GSM1873477"	"GSM1873477_Cebpe KO"
"CMP CD41_GSM1873450"	"CMP CD41"	"GSM1873450"	"GSM1873450_CMP CD41"
"CMP CD41_GSM1873451"	"CMP CD41"	"GSM1873451"	"GSM1873451_CMP CD41"
"CMP Flt3+ Csf1r+_GSM1873468"	"CMP Flt3+ Csf1r+"	"GSM1873468"	"GSM1873468_CMP Flt3+ Csf1r+"
"CMP Flt3+ Csf1r+_GSM1873469"	"CMP Flt3+ Csf1r+"	"GSM1873469"	"GSM1873469_CMP Flt3+ Csf1r+"
"CMP Flt3+ Csf1r+_GSM1873482"	"CMP Flt3+ Csf1r+"	"GSM1873482"	"GSM1873482_CMP Flt3+ Csf1r+"
"CMP Flt3+ Csf1r+_GSM1873483"	"CMP Flt3+ Csf1r+"	"GSM1873483"	"GSM1873483_CMP Flt3+ Csf1r+"
"CMP Flt3+ Csf1r+_GSM1873490"	"CMP Flt3+ Csf1r+"	"GSM1873490"	"GSM1873490_CMP Flt3+ Csf1r+"
"CMP Flt3+ Csf1r+_GSM1873491"	"CMP Flt3+ Csf1r+"	"GSM1873491"	"GSM1873491_CMP Flt3+ Csf1r+"
"CMP Irf8-GFP+ MHCII+_GSM1873484"	"CMP Irf8-GFP+ MHCII+"	"GSM1873484"	"GSM1873484_CMP Irf8-GFP+ MHCII+"
"CMP Irf8-GFP+ MHCII+_GSM1873485"	"CMP Irf8-GFP+ MHCII+"	"GSM1873485"	"GSM1873485_CMP Irf8-GFP+ MHCII+"
"CMP Irf8-GFP+ MHCII+_GSM1873486"	"CMP Irf8-GFP+ MHCII+"	"GSM1873486"	"GSM1873486_CMP Irf8-GFP+ MHCII+"
"CMP Irf8-GFP+ MHCII+_GSM1873487"	"CMP Irf8-GFP+ MHCII+"	"GSM1873487"	"GSM1873487_CMP Irf8-GFP+ MHCII+"
"CMP Irf8-GFP+ MHCII+_GSM1873488"	"CMP Irf8-GFP+ MHCII+"	"GSM1873488"	"GSM1873488_CMP Irf8-GFP+ MHCII+"
"CMP Irf8-GFP+ MHCII+_GSM1873489"	"CMP Irf8-GFP+ MHCII+"	"GSM1873489"	"GSM1873489_CMP Irf8-GFP+ MHCII+"
"Unsorted myeloid_GSM1873452"	"Unsorted myeloid"	"GSM1873452"	"GSM1873452_Unsorted myeloid"
"Unsorted myeloid_GSM1873453"	"Unsorted myeloid"	"GSM1873453"	"GSM1873453_Unsorted myeloid"
"Unsorted myeloid_GSM1873454"	"Unsorted myeloid"	"GSM1873454"	"GSM1873454_Unsorted myeloid"
"Unsorted myeloid_GSM1873455"	"Unsorted myeloid"	"GSM1873455"	"GSM1873455_Unsorted myeloid"
"Unsorted myeloid_GSM1873456"	"Unsorted myeloid"	"GSM1873456"	"GSM1873456_Unsorted myeloid"
"Unsorted myeloid_GSM1873457"	"Unsorted myeloid"	"GSM1873457"	"GSM1873457_Unsorted myeloid"
"Unsorted myeloid_GSM1873458"	"Unsorted myeloid"	"GSM1873458"	"GSM1873458_Unsorted myeloid"
"Unsorted myeloid_GSM1873459"	"Unsorted myeloid"	"GSM1873459"	"GSM1873459_Unsorted myeloid"
"Unsorted myeloid_GSM1873460"	"Unsorted myeloid"	"GSM1873460"	"GSM1873460_Unsorted myeloid"
"Unsorted myeloid_GSM1873461"	"Unsorted myeloid"	"GSM1873461"	"GSM1873461_Unsorted myeloid"
"Unsorted myeloid_GSM1873462"	"Unsorted myeloid"	"GSM1873462"	"GSM1873462_Unsorted myeloid"
"Unsorted myeloid_GSM1873463"	"Unsorted myeloid"	"GSM1873463"	"GSM1873463_Unsorted myeloid"
"Unsorted myeloid_GSM1873464"	"Unsorted myeloid"	"GSM1873464"	"GSM1873464_Unsorted myeloid"
"Unsorted myeloid_GSM1873465"	"Unsorted myeloid"	"GSM1873465"	"GSM1873465_Unsorted myeloid"
"Unsorted myeloid_GSM1873466"	"Unsorted myeloid"	"GSM1873466"	"GSM1873466_Unsorted myeloid"
"Unsorted myeloid_GSM1873467"	"Unsorted myeloid"	"GSM1873467"	"GSM1873467_Unsorted myeloid"
